titel,datum,tijd,omschrijving,tags,sprekers,scope,contactpersoon,hybride,locatie,digitale link,registratie,bedrijf,sessieserie,doelgroep,voorbereiding,taal,materialen,starttijd,eindtijd,logo
Splunk for Devops Engineers: All You Need to Know,25-05-23,17.30-20.30,"Ben jij een DevOps Engineer, Linux Engineer, Platform Engineer of weet je überhaupt niet wat je met al je logging en metrics aan moet? Dan is deze sessie voor jou! Coen Meerbeek, Splunk Nerd en Observability Guru, neemt je mee in de basis Splunk Componenten zoals Heavy Forwarders, Universal Forwarders en HEC. Ook legt hij uit hoe je Data in Splunk onboard en daadwerkelijk gebruikt met Splunk Search. Als kers op de taart, ga je nog aan de slag met een korte lab die je thuis verder af kan maken.

Kortom de sessie is voor iedereen die zoveel mogelijk uit zijn logging en metrics wil halen met behulp van Splunk, maar alleen nog niet weet hoe.

Benodigheden
- laptop

Agenda
17.30 - 18.00 uur Inloop
18.00 - 18.30 uur Eten
18.30 - 20.30 uur Splunk for Devops Engineers","Linux,Cloud Computing,DevOps,Splunk,Observability","Coen Meerbeek, Splunk Nerd en Observability Guru",Iedereen (publiek toegankelijk),Sven Kooiman,Fysiek,Conclusion Xforce Edisonbaan 15 · Nieuwegein,,via Meetup: https://www.meetup.com/xforce-kennissessies/events/293147491/,Conclusion Xforce,Xforce Kennissessies ,"DevOps Engineer, Linux Engineer, Platform Engineer of weet je überhaupt niet wat je met al je logging en metrics aan moet",laptop meenemen,Nederlands,,17:30,20:30,xforce
PlatformCom 2023,08-06-23,9:00-17:00,"Online conference for Platform Engineers. Five tracks, 150 sessions. 

details via https://platformcon.com/talks

Stories
Learn from practitioners who built platforms for real-life enterprise use cases. These talks showcase the platform journey – from initial steps to building it and rolling it out across the engineering organization.

Tech
Dive deep into the technical backbone of developer platforms. This track explores how platform teams solve specific problems with specific tools – from Kubernetes to IaC, service catalogs and GitOps. 

Blueprints
Explore tried and true platform blueprints and reference architectures. These talks uncover key design considerations and explore how to effectively combine tools for your developer platform.

Culture
Developer platforms don’t live in a vacuum. They are built by engineers for other engineers. This track discusses the cultural aspects of platform engineering, from product management to relating this discipline to DevOps and SRE.

Impact
Discover the impact and business value platform engineering initiatives deliver. Hear C-level perspectives on how their platform impacted key metrics and practitioners on how they secured buy-in from relevant stakeholders.","platform,kubernetes,observability,iac,automation,paas,developer platform,open source,idp,cloud,ops,devops,istio,terraform,kafka",dozens of speakers - see https://platformcon.com/speakers,Iedereen (publiek toegankelijk),georganiseerd door Humanitec; join Slack: https://platformengin-b0m7058.slack.com/join/shared_invite/zt-1yld6qda9-8EkoEgs2kaE6AZQMTM9vdQ#/shared-invite/email,Online (digitaal),,https://platformcon.com/talks,via https://platformcon.com/register NB: gratis!,Humanitec,PlatformCon,platform engineers,,Engels,On demand sessies terugkijken via https://platformcon.com/talks,09:00,17:00,
KubeCon Europe '23 or: How I Learned to Stop Worrying and Love Multi-Tenancy,24-04-23,17:30-20:30,"Van 18 tot 21 april 2023, verzamelen 7000 Kubernetes liefhebbers zich in Amsterdam voor KubeCon Europe. Namens Conclusion Xforce zijn Jitse Klomp en Sven Kooiman hierbij aanwezig om de nieuwste ontwikkelingen te zien en ervaringen uit te wisselen. Tijdens het eerste deel van deze meetup zullen ze een aantal van de belangrijkste/interessantste/leukste/opvallendste highlights delen.

Het tweede deel van de sessie staat in het teken van een van de grote twistpunten rondom Kubernetes in de enterprise: Single Tenant vs. Multi-Tenant. De CNCF heeft een volledige dag toegewijd aan deze discussie waarin verschillende bedrijven (CERN, Ericsson, Red Hat en VMware) laten zien hoe multitenancy WEL kan. Naar aanleiding van deze overvolle dag gaan Sven en Jitse in op de discussie, de technische ontwikkelingen die het mogelijk maken en laten zien in welke omstandigheden het wel/niet de juiste oplossing is.

Dus wil jij weten wat de trends van 2023 worden van Kubernetes en eindelijk een punt zetten achter de multi-tenancy discussie? Dan is deze sessie voor jou!

Agenda: 17:30 uur ontvangst met een hapje/drankje, om 18:00 uur buffet en aansluitend de kennissessie tot ongeveer 20:30 uur

","Linux,Open Source,Cloud Computing,DevOps,Kubernetes","Jitse Klomp,Sven Kooiman",Iedereen (publiek toegankelijk),"Jitse Klomp,Sven Kooiman",Fysiek,Conclusion Nieuwegein,,via MeetUp: https://www.meetup.com/xforce-kennissessies/events/292573330/,Xforce,Xforce Kennissessies ,,,Nederlands,"Hieronder kunnen jullie de slides vinden met verdere achtergrond informatie. Tot de volgende keer!

https://gitlab.com/conclusionxforce/kennissessies/-/blob/5e3b8e0e59f0dc3363ebea15813647c4761423dc/Kubecon%20'23%20Recap/Meetup_24th_of_April_-_Kubecon__23_Recap.pdf
Alle talks van KubeCon zijn vanaf nu terug te kijken op https://www.youtube.com/@cncf

Aanraders:
The Day We Delete(d) Production (CERN)
https://www.youtube.com/watch?v=TEg3Ne5uPYc

Enabling Real-Time Media in Kubernetes
https://www.youtube.com/watch?v=1_cxXzhY4Xg

Building a Sustainable, Carbon-Aware Cloud: Scale Workloads and Reduce Emissions
https://www.youtube.com/watch?v=s7K7QkhWnFU",17:30,20:30,xforce
Techorama 2024 - Deep Knowledge IT Conference,06-05-24,"hele dag, 6,7 en 8 mei 2024","nog geen agenda bekend
https://techorama.be/","ai,iot,software engineering,cloud,data,platform,security,devops,web,frontend",nog niet bekend,Iedereen (publiek toegankelijk),https://techorama.be/ - Contact us via board@techorama.be for all questions or follow us on Twitter via @techoramabe.,Fysiek,"Kinepolis, Antwerpen",,https://techorama.be/,,Techorama Belgium,,,Engels,,08:00,18:00,
Get-Together Thursdays | Techorama 2023,27-07-23,16:30-18:00,"This session given by Gil, Zoë, Nele and Kurt will highlight their experience during the Techorama Belgium 2023, one of the biggest IT conferences that offers a platform for learning, networking, and staying updated with the latest trends in the IT industry.

Welcome afterwards for some drinks and bites!
","ai,iot,software engineering,cloud,data,platform,security,devops,web,frontend","Gil Vertommen, Zoë Viola, Nele Lieben and Kurt Schraepen ",Collega's uit het ecosysteem,cynthia.noben@mediaan.com,Hybride (digitaal en fysiek),Mediaan Heerlen,https://eur03.safelinks.protection.outlook.com/ap/t-59584e83/?url=https%3A%2F%2Fteams.microsoft.com%2Fl%2Fmeetup-join%2F19%253ameeting_OTliYmQ0YjItZjgzOS00ZThlLTkwNzktMGNkMDQyY2I3ZGZi%2540thread.v2%2F0%3Fcontext%3D%257b%2522Tid%2522%253a%25221f6b76fa-8329-4164-9501-06e9eb8697fb%2522%252c%2522Oid%2522%253a%25227315d6fc-2ad1-43de-812a-265bfc331c98%2522%257d&data=05%7C01%7Clucas.jellema%40conclusion.nl%7C471d5d0fcff7438fd4ef08db8db74ae8%7C21429da9e4ad45f99a6fcd126a64274b%7C0%7C0%7C638259590613560523%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=piQ%2BjrIEpKnfzYu1WY%2BmSpmS89mVZZq2oZUwknwR61w%3D&reserved=0,Mail naar Cynthia (cynthia.noben@mediaan.com),Mediaan,Get-Together Thursdays (by Mediaan),,,Engels,,16:30,18:00,mediaan
Techorama 2023 Netherlands,09-10-23,8.30-17.00 uur - drie dagen lang 9-11 oktober,"presentaties en workshops in deze categorieën:
AI & IOT & ML
Cloud Services
Data Platform & BI
Developer trends
DevOps & Architecture
Motivational & self-improvement
Web & Frontend","AI,IOT,ML,cloud,Data Platform,BI,Developer trends,DevOps,Architecture,Motivational & self-improvement,Web,Frontend",tientallen - zie https://www.techorama.nl/speakers/,Iedereen (publiek toegankelijk),Contact us via board@techorama.nl for all questions or follow us on Twitter via @techoramanl.,Fysiek,"Kinepolis Jaarbeurs Utrecht.  Jaarbeursboulevard 300, 3521 BC Utrecht, Nederland",,"https://www.techorama.nl/tickets/

All tickets will need to be bought via the Pretix Ticketing Platform. You can buy tickets directly via credit card / iDEAL, or you can choose to order tickets and pay by bank transfer. For every order you will receive a detailed invoice with your company information and optionally your reference message.

Early Bird tickets (€50 discount) are available from May 1 until June 30, 2023.

A late bird fee (€100) will be applied after September 1, 2023.",Techorama,Techorama,"developers,software architects",,Engels,,08:30,17:30,
First8 Conclusion Bordspellenavond,14-09-23,17.30-21.00,"Welkom bij de First8 Conclusion Bordspellenavond! Op donderdag 14 september 2023 komen collega’s vanuit het Conclusion ecosysteem, vrienden andere bordspelliefhebbers samen voor een avond vol strategie, competitie en plezier.

Laat de werkdag achter je en kom meedoen. Ontmoet gelijkgestemde collega's, ontwikkel je strategische vaardigheden, leer nieuwe spellen en geniet van een gezellige avond.

Schrijf je vandaag nog in en wees erbij voor een topavond vol speelplezier!

zie: https://bordpel.conclusionevents.nl/","bordspellen,games,gezelligheid,plezier,winnen",iedereen,Collega's uit het ecosysteem,"Linda Elbersen Marketing en Office, First8 Conclusion  linda.elbersen@first8.nl",Fysiek,"First8, Nijmegen Jonkerbosplein 52 | 6534 AB Nijmegen  https://bordpel.conclusionevents.nl/page/1349301",,via https://bordpel.conclusionevents.nl/page/1349291,First8,,iedereen binnen Conclusion,,Nederlands,,17:30,21:30,first8
Devoxx 2023,02-10-23,"08.30-20.30, vijf dagen (2-6 oktober)","At Devoxx Belgium 2023, attendees can look forward to a spectrum of talks and sessions from the industry’s brightest minds, spotlighting both local and global talent. Our agenda promises to delve into the newest advancements in numerous tech areas such as Cloud, Big Data, Security, Architecture, and Programming Languages.

The upcoming release of Java 21 will be a hot topic. Renowned speakers will share their knowledge and discuss the enhancements that this new version brings, providing an invaluable learning opportunity. This year, we’re also putting a special emphasis on Artificial Intelligence, with leading experts sharing insights into the latest developments and methodologies. 

Attending Devoxx Belgium presents a remarkable opportunity to broaden your knowledge, refine your skills, and gain firsthand experience with the most recent technologies, particularly in the ever-evolving fields of AI and Java.

Prepare yourself for this exciting event, it’s sure to be a memorable occasion!","java,software engineering,ai,data,data science,automation,containers,kubernetes,conference",tientallen,publiek,https://devoxx.be/faq/,Fysiek,Kinepolis Antwerp Groenendaallaan 394 2030 Antwerp Belgium Google Map,,"Registrations
We’ll release two batches of tickets on following dates:

On August 16th at 9h00 AM CEST (refund until end of August 31st)
On September 4th again at 9h00 am CEST (no refund possible)
Beware, last year’s initial batch vanished within five minutes, and the September batch disappeared in mere seconds. Take this as a cautionary message.",Devoxx,,,,Engels,,08:00,21:00,
JFall 2023,09-11-23,08.30-17.30,"J-FALL 2023

J-Fall 2023 is the Java Conference of the Netherlands. Where we welcome 1800+ attendees at Pathé Ede on the 9th of November.

Expect the best (inter)national speakers including a bunch of Java Champions giving in-depth sessions, inspiring keynotes and practical hands-on workshops. But it is so much more than quality content delivered by Java gurus. The prestigious NLJUG Innovation Award will be presented to the most impressive and innovative Java project of the year. The market floor is full of companies who embrace Java and everything that it stands for. It’s a day you can’t miss out on in which you will get ahead of the curve while meeting the best community members of the world.

The Preconference Masterclasses & Masters of Java are organized the day before J-Fall

","java,Server Side Java,Alternative JVM Languages,Cloud,Methodology & Culture,Web & Mobile,Data & Machine Learning, Security,Architecture",tientallen,Iedereen (publiek toegankelijk),https://jfall.nl/contact/,Fysiek,Pathé Ede,,"J-Fall is only for NLJUG members and last year it sold out within 24 hours.

Want to secure yourself of a J-Fall ticket, become a Key or Core NLJUG member to get priority access!

Not a NLJUG member yet? You can register right here. And is free for all NLJUG members
",NLJUG,JFall,"Java developers,software engineerings,frontend developers,software architects",,Engels,,08:30,17:30,
Furore SnackIT 2023,05-10-23,15:00-20:30,"de vijfde editie van SnackIT; een inspirerend kennisevenement voor professionals in de ZorgICT. We geven SnackIT2023 een extra feestelijk tintje en nodigen je uit om op donderdag 5 oktober het 30-jarig jubileum van Furore samen met ons te vieren.

Een prachtig moment om terug te blikken én bovenal vooruit te kijken; wat zien we in de markt gebeuren, welke ontwikkelingen geven het zorg- en EPD-landschap van de toekomst vorm en hoe kunnen we hier op inspelen? We vragen het aan prominenten, specialisten in de branche en technologie-expert Deborah Nas.

14:30

15:00

Ontvangst op De Landgoederij

15:00

15:15

Plenaire opening

Meer informatie
15:15

16:00

Het zorg- en EPD-landschap van de toekomst

Meer informatie
16:00

16:15

Pauze

16:15

17:00

Parallelsessie 1 - Grip op de zorg door AI; hoe Zuyderland waarde creeërt met data - Marlon Brokke, Zuyderland & Roel van Reij, Mediaan

Meer informatie
16:15

17:00

Parallelsessie 2 Interoperabiliteit in de praktijk

16:15

17:00

Parallelsessie 3 - meer info volgt

17:00

17:30

Plenaire afsluiting

Meer informatie
17:30

18:00

Pauze

18:00

19:00

Technologietrends binnen de zorg door Deborah Nas

Meer informatie
19:00

20:30

Jubileumdiner","zorg,ict,epd,ai,capaciteit,toekomst,praktijk","Deborah Nas,Marlon Brokke, Zuyderland & Roel van Reij, Mediaan",Iedereen (publiek toegankelijk),Vragen over SnackIT2023? Stuur een e-mail naar: info@furore.com Bekijk het laatste nieuws op onze website.,Fysiek,Landgoederij in Bunnik - https://furore-snackit2023.conclusionevents.nl/page/1340511,,Details via https://furore-snackit2023.conclusionevents.nl/,Furore,Furore SnackIT,professionals in de ZorgICT,,Nederlands,,14:30,20:30,furore
Sturen op waarde,16-11-23,16.30 - 20.30,In opvolging op de werksessies tijdens onze jaarlijkse Projectmanagement Vakdag organiseert KWD elk kwartaal een bijeenkomst rondom een thema. Kleinschalig (maximaal 20 personen) en gericht op één onderwerp onder begeleiding van één of meer experts op dat onderwerp. Op deze manier laten wij onze relaties nader kennismaken met de kennis van KWD: een kijkje in de keuken van KWD dus! ,projectmanagement; waarde; sturen; agile,"Jos van der Heijden, Eric van Daalen, Remmelt van der Wal",Iedereen (publiek toegankelijk),Remmelt van der Wal; KWD,Fysiek,Conclusion Nieuwegein,"Niet van toepassing, het is een fysieke meeting.","https://www.kwdrm.nl/onze-kennis/kijkje-in-de-keuken-van-kwd/

De link wordt pas in september geactualiseerd voor de komende sessie.",KWD,Kijkje in de Keuken van KWD,Klanten en (potentiële) collega's die in de praktijk worstelen met het thema 'sturen op waarde'.,Eigen ervaringen. Na afloop krijgen de deelnemers het boekje van KWD dat over het thema 'Sturen op waarde' gaat.,Nederlands,,16:30,20:30,kwd
